Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Revit 2019: Professional Office Interior Design,"Are you an interior designer who wants to use Revit for your next project? Do you need to view and edit a Revit model provided by a client or consultant? This is the course for you. Chante' Bright—an architectural designer and instructor specializing in BIM design—explains how to use Revit to create permit-ready interior plans for commercial office spaces. Learn how to set up your project, establish basic views, and model the walls, ceilings, doors, floors, and other elements of your interior design. Then find out how to add finishing details such as millwork and output custom schedules that make your project requirements clear. Plus, discover how to revise your model when clients request changes and make sure your files are always accessible and up to date.",Course,2019-03-08 02:49 UTC,N/A,false,N/A,
Additive Manufacturing: Troubleshooting 3D Prints (2018),"3D printing is has come a long way, but there are still many things that can derail the printing process. This course helps you avoid problems in advance, and when they do come up, it helps you solve them. Rich Cameron and Joan Horvath of Nonscriptum LLC—the maker tech training company—review common 3D print problems, and show how to fix them by making changes to the model, orientation, or printer settings. Learn what to do when your print doesn't stick to the print bed; when you see pimples, dimples, or stringing; have cooling issues; or the walls of your print are too thin. Joan and Rich also help identify and fix software-related issues with your host and slicer programs, and keep track of changes as you debug, in case you need to roll back to a previous version of your design.",Course,2018-09-01 04:18 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-09-22 12:35 UTC,N/A,false,N/A,
Learning Python GUI Programming,"Learn how to create effective graphical user interfaces (GUIs) with minimal code using Python. Burkhard Meier starts by showing how to create a GUI form, add widgets, manage the resulting layout, and customize the look and feel of the interface. Then, he takes you through working with data, classes, and making charts using the 2D Python plotting library, Matplotbil. Next, he discusses how threading and networking impact the performance of your code. Later in the course, he advances on to working with databases, testing application GUIs, extending a GUI using the wxPython library, and creating 3D GUIs by using PyOpenGL and Pyglet. As you follow along with Burkhard throughout this course, you will develop an entire application's GUI.<br><br>Note: This course was created by Packt Publishing. We are pleased to host this training in our library.",Course,2019-07-31 22:19 UTC,N/A,false,N/A,
3D Content Creation for Virtual Reality,"Virtual reality is a booming industry. The technology for consumers and designers just keeps getting better. Learn how to take advantage of the newest advances in VR modeling, texturing, and rendering in this course with 3D artist and expert Craig Barr. Using Maya and Unity, you'll look at how to create assets that are efficient and effective, contributing to an overall more compelling virtual reality experience. If you're new to VR, watch the introductory chapter to get an overview of the terminology, technical considerations for designers (like refresh rate), and the most popular VR hardware, including the Oculus Rift. Craig then dives into modeling, texturing, and rendering, and offers some tips for making more sophisticated content with ambient lighting and effects. Plus, get insights on cutting-edge VR techniques, such as creating content in VR projects with Unreal Engine 4, Tilt Brush, SculptrVR, MakeVR, and more.",Course,2019-02-19 20:08 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:647661,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:647661,Course,2018-10-14 00:39 UTC,N/A,false,N/A,
Using the Time Value of Money to Make Financial Decisions,"Learn how understanding the time value of money can help you figure out loan payments, save for college and retirement, rent or buy a house, lease or purchase a car, and make long-term business decisions. Accounting professors Jim and Kay Stice explain the linked concepts of the time value of money and compound interest,  show you how to calculate the time value of money in Microsoft Excel or on a calculator, and how to apply the time value of money to a variety of personal and professional financial scenarios.<br><br>Learn more about interest rates and investments in the Stices' <i>Finance Foundations</i> course.",Course,N/A,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5907566,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5907566,Course,2024-05-17 01:38 UTC,N/A,false,N/A,
Creating Granite & Mosaics 3D Textures,"Learn how to mimic the look of granite and terrazzo, two high-end materials for countertops and flooring, using Adobe Photoshop and Illustrator. Join Adam Crespi as he generates the base slab, colors the stone, and paints in character like grain, figuring, and strata. Then he shows how to assemble a medallion to take into Maya (or the 3D program of your choice). There he links the texture to materials and adds variance to the reflections so that the texture looks more realistic when applied to an architectural model or other 3D design.<br><br>

Find more installments in this series—on textures like slate, concrete, and brick—on Adam's author page.",Course,2019-04-16 11:43 UTC,N/A,false,N/A,
Creating Formed Concrete 3D Textures,"Used in everything from the Pantheon to modern buildings like the Salk Institute, concrete is all around us, which means it makes its way into many architectural designs and 3D scenes. If you need to generate objects made of concrete for your next 3D project, start here! This course takes you through all the steps for creating concrete textures, beginning in Photoshop, where Adam Crespi shows how to create form ties and scoring patterns, generate bubble holes and voids, and add variation and wear using custom brushes. Then he explains how to create normal and occlusion maps, and brings the concrete texture into Maya, where he links it to a poured concrete material and maps the concrete to flow around the walls of a structure.<br><br> 

Interested in creating other kinds of textures, such as wood grain or metal? Check out other courses in our <em>Creating Textures</em> series.",Course,2018-12-21 15:53 UTC,N/A,false,N/A,
Creating Brick 3D Textures,"Join Adam Crespi in this installment of <em>Creating Textures</em>, as he takes you through the steps needed to create realistic brick textures in Photoshop. First you'll create the base materials for three different types of brick—water-struck, sand-struck, and wire-cut brick—all of which have a distinctive look. Next, you'll lay out the bond pattern and add color variations, and then build a grayscale version of the pattern to convert to a normal map for use in almost any 3D modeling program. Finally, Adam shows how to put your textures to work, modeling and mapping a brick wall and arch in Maya.",Course,2019-03-20 06:05 UTC,N/A,false,N/A,
Revit Architecture: Advanced Modeling,"<em>Advanced Modeling in Revit Architecture</em> elaborates on the basics of core elements in Revit, such as walls, floors, roofs, and curtain walls, and digs into specialized features such as in-place families, adaptive components, and the massing environment. Author Paul F. Aubin guides designers into thinking both in and out of the box, through discovering and applying industry standard best practices, employing creative and sometimes unconventional techniques and procedures, and finding ways to make models serve multiple concurrent project goals.",Course,2019-11-12 00:14 UTC,N/A,false,N/A,
Creating Slate 3D Textures,"Slate is a popular design choice for modern flooring and roofs, but getting an accurate slate texture out of the box  for your models can be hard. With this installment of <em>Creating Textures</em>, you can build a custom slate texture in Photoshop and put it to work in the 3D modeling program of your choice. Adam Crespi begins the course by creating the base structure, and then layering in the color variation that occurs naturally in slate. He then cuts out roof and floor tiles to take into 3ds Max. There he links the texture to materials and adds the organic rough edges that gives slate its distinctive look.<br><br>

Combine this technique with the wood and metal cladding courses for all your interior and exterior modeling needs!",Course,2018-10-16 14:27 UTC,N/A,false,N/A,
ZBrush 4 Essential Training,"In <em>ZBrush 4 Essential Training</em>, Ryan Kittleson introduces ZBrush to artists making a transition from another sculpting program or who may just need some help with the finer points of this powerful digital arts package. The course covers the most popular tools and techniques for digital painting and sculpting in ZBrush, and explains how to export the models and texture maps to other programs for use in games, film, fine art, or 3D printing. The course also highlights the new features in ZBrush 4, such as ShadowBox, clip brushes, and LightBox. Exercise files are included with the course.",Course,2018-11-23 06:30 UTC,N/A,false,N/A,
Creating Shingles & Siding 3D Textures,"Make your roofing and siding look more realistic with a custom shingle texture. In this course, Adam Crespi helps you build asphalt shingles in a variety of bond patterns and put the texture to work in the 3D modeling program of your choice. You'll start by laying out the pattern in Illustrator, and then adding color, texture, and gradients that mimic the look of slope and overlap, with Photoshop. Then Adam will show you how to apply the texture in 3ds Max and map a sample roof and ridges.",Course,2019-01-16 13:33 UTC,N/A,false,N/A,
Excel: Creating a Basic Dashboard,"In this course, instructor Curt Frye shows you how to summarize spreadsheet data effectively to support decision-making throughout your organization. Curt explains how to set up a supporting workbook, including how to manage and filter data, streamline charts for dashboards, and create sparklines. He also goes over the process of creating a dashboard worksheet. Curt covers creating and managing cell links, using PivotTable data in a formula, extending your dashboard with hidden rows, and more.",Course,2024-02-26 00:57 UTC,N/A,true,N/A,
Rhino: Architectural Interior & Detail,"Advance your Rhino modeling and workflow skills with this short course on architectural interior and detailing. Dave Schultze shows you how to build walls and stairs complete with landings and railings, calculate the correct number of stairs on a spiral staircase, and make openings for windows and doors. Plus, get a collection of tips and tricks for curve blending, organizing your file for easy changes, and more.",Course,2019-08-23 04:47 UTC,N/A,false,N/A,
Dynamo: Revit Workflow,"Dynamo allows Revit users to build custom tools to solve their problems in smarter, faster ways. This course teaches you how to apply basic visual programming concepts to architectural design in Revit, including automating various design, documentation, analysis, and BIM management tasks. Learn how to use Dynamo for numbering rooms, calculating occupant loads, evaluating the efficiency of a room's furniture layout, verifying adherence to building code, and dimensioning rooms. Each chapter features start-to-finish examples of Dynamo in action, solving and automating the kind of tasks architects face every day.",Course,2018-10-29 04:33 UTC,N/A,false,N/A,
Foundations of Geographic Information Systems (GIS) (2021),"Millions of organizations around the world are using Geographic Information Systems (GIS) to make maps that communicate, perform analysis, share information, and solve challenging problems. In this course, Jennifer Harrison, President of TeachMeGIS and a consultant in the GIS field for nearly 30 years, shows you the value of using GIS to solve problems and helps you to master its intricacies.  Jennifer shares how to create maps, stack layers, and evaluate spatial relationships. She explains the essential elements of a GIS and describes attribute tables and how they are used in map display and analysis. Jennifer goes over raster data, as well as lidar data and how it can be used to make a 3D model of real-world features. She also covers ways to source data and import it into GIS. Finally, Jennifer goes over enterprise and mobile versions of GIS. After this course, you'll be able to comprehend the basics of GIS, recognize its core concepts, and get started with GIS programs.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2023-06-29 05:12 UTC,N/A,false,N/A,
SOLIDWORKS 2018 Essential Training,"SOLIDWORKS 2018 is 3D CAD software that delivers powerful design functionality with an intuitive user interface to speed your design process and make you instantly productive—enabling you to deliver innovative products to market faster. In this course, Gabriel Corbett teaches you the essential tools and techniques necessary to create parts, assemblies, and drawings efficiently in SOLIDWORKS.<br><br> 

First, see how to create two-dimensional sketches that become the foundation for 3D objects. Next, look at extruding and revolving 3D features; creating complex objects using the Sweep, Loft, and Surface tools; and modifying parts. Learn how to create uniform holes with the Hole Wizard, and explore more advanced modeling techniques using equations, mirroring, and pattern tools. Then review best practices for putting parts together in assemblies and building robust structures. The course wraps up tips for creating detailed drawings that relate the final parts and assemblies to a manufacturer, complete with an itemized bill of materials and drawing notes.",Course,2018-07-24 03:17 UTC,N/A,false,N/A,
SketchUp for Architecture: Details,"Well-built and organized SketchUp projects allow architects to have greater flexibility at every stage of the  design process. This course shows how to build and organize the details of your architectural designs with SketchUp and the companion documentation tool, LayOut. Instructor Paul J. Smith recreates a residential building project, while explaining all the details that go into the design, including insulation and waterproofing. He starts with the foundation and then builds up the external cavity wall with brick and block components, then adds window and door openings and builds the roof. Paul also explains how to generate 2D details from a 3D model using LayOut, and introduces basic visualization techniques for generating simple but professional textured renders with V-Ray and Photoshop.<br><br>

This course was created by Paul J. Smith. We are pleased to offer this training in our library.",Course,2020-05-02 14:49 UTC,N/A,false,N/A,
Learning Design for Sustainability,"The world is facing a number of environmental, economic, and social challenges. Our future depends on sustainable solutions that improve our lives, without adversely affecting our neighbors or our ecosystems. Designers have a unique role to play in the way forward. Watch this course to explore the tools, resources, and best practices of sustainable design. Designer, educator, and author Scott Boylston covers the philosophy of designing physical objects, the built environment, and services to comply with the principles of social, economic, and ecological sustainability. He walks through technical and social innovations that are making real change possible, across a variety of disciplines.",Course,2018-07-25 11:36 UTC,N/A,false,N/A,
Cinema 4D: Dynamics,"CINEMA 4D dynamics are powerful, but easy to understand and fun to play with. In this course, Thanassis Pozantzis shows you how to use dynamics to create physically accurate object animations, using real-world physics like gravity, collisions, and bounces. Learn how to work with forces like initial velocity, create more complex objects like hierarchies and static objects, and use dynamics with MoGraph clones and particle systems. You'll also get a look at eight of the major physical properties, learn how to connect your simulation to keyframe-animated objects, and trigger dynamics. After the completion of this course, you should be able to create complex dynamic simulations setups. The possibilities are limited only by your imagination.<br><br>

This course was created by Thanassis Pozantzis. We're honored to host this training in our library.",Course,2018-07-30 06:22 UTC,N/A,false,N/A,
ZBrush: Hair with FiberMesh,"ZBrush offers a new way to make hair and fur with its FiberMesh tool. In this course, ZBrush artist Ryan Kittleson introduces the features of this mesh generation tool, and gives step-by-step examples of how they can be used in practice. Ryan goes over how to properly prepare your model before you start making hair, initialize the basic hair parameters for setting length and thickness, and use the Groom brushes to tame and style hair. To wrap up, he explains how to make other kinds of hair including eyebrows, eyelashes, and stubble.",Course,2018-10-10 23:14 UTC,N/A,false,N/A,
Fusion 360: Designing for Metal,"If you're designing metal parts, you'll need to do things differently than you would for other materials and processes. This course shows how to use Autodesk Fusion 360—the affordable cloud-powered CAD and CAM tool that works like more expensive, industry-focused tools—to build effective designs specifically for subtractive manufacturing in metal. Thom Tremblay shows how to build solid designs, simulate how the model will hold up to the stress of production and use, render the design for presentation, and finalize it for manufacturing. The workflows showcased in this course are tailored to help the nonprofessional CAD user, and the maker, to be more effective and quickly have access to the tools that a few years ago were only available to the few and at an astronomical price.",Course,2021-04-17 03:56 UTC,N/A,false,N/A,
Cisco Network Security: Core Security Concepts,"Protect your network from common security threats. In this course, instructor Lisa Bock helps equip network administrators with a foundational understanding of security concepts in relationship to Cisco networks. Lisa covers essential security terms and discusses common security threats such as active and passive attacks, social engineering, and malware. She reviews cryptographic techniques such as encryption and digital signatures, and describes various network topologies such as campus area networks, wide area networks, and data centers.<br><br>This course corresponds to the security fundaments portion of the 200-301 CCNA exam.",Course,2019-05-21 18:52 UTC,N/A,false,N/A,
SketchUp: Tips & Tricks,"Discover how to use SketchUp more effectively. In this course, George Maestri covers a wide variety of topics and shares tips that can help you use this powerful application to efficiently and quickly create detailed 3D models.",Course,2018-10-31 22:57 UTC,N/A,false,N/A,
Revit Area Calculations,"Architects and designers are often tasked with calculating and reporting the sizes of the spaces within a project. Typically, a set of detailed area calculations following specific rules and guidelines—which are often set by building officials, leasing agents, and others—is required. If you need to make such calculations, you'll likely find that you need more precision than is possible with Revit rooms. In such cases, you need to use Revit area elements and area plans instead of rooms. Areas appear very similar to rooms, but they're separate elements with a unique purpose and workflow.<br><br>

In this course, Paul F. Aubin explores the creation of area plans and areas, and discusses the workflow that enables them. Using these tools, see how you can group and quantify the spaces within a project, and create detailed and accurate calculations of all important areas. The resulting information can be presented graphically onscreen, printed, scheduled, reported, and exported as necessary to satisfy a variety of project stakeholders—those using Revit and those who don't. If you have found it difficult to capture the intricacies of area calculations in your Revit projects—or have only tried to do so using the room elements—then you owe it to yourself to give area elements a try.",Course,2019-04-23 21:49 UTC,N/A,false,N/A,
Corporate Finance Foundations,"<p>The financial choices a company makes can impact its performance and valuation—which makes corporate finance an important topic for executives, managers, and accountants alike. Learn the basics of corporate finance and its impact on decision-making and growth. In this course, professors Jim and Kay Stice lay the foundation for how corporate finance works and make the connections between business activity and finance. They discuss the role of risk in financial decision-making, the benefits of diversification, how short- and long-term financing can impact cash flow and business operations, and the various ways businesses use equity or debt to finance corporate capital. Plus, learn about the mysterious capital asset pricing model, CAPM. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cfi-corporate-finance-foundations-professional-certificate"" target=""_blank"">Professional Certificate</a> from Corporate Finance Institute.</p>",Course,2024-07-01 17:01 UTC,N/A,false,N/A,
Compositing a Sci-Fi Force Field in NUKE,"Force fields can trap characters and stop them in their tracks. But most of the time they're virtual barriers, created by VFX compositing gurus like Steve Wright. In this project-based course, Steve shows how to build a show-stopping sci-fi force field using NUKE. He shows how to add life to a basic matte painting by animating the doors, and then keys the green-screen footage and carefully composites the main character, an armored space fighter, back into the scene. Then, using NUKE's Noise node, Steve creates the force field animation and multiplies it for maximum effect. Finally, to really sell the scene, he adds interactive lighting, motion blur, and other finishing touches. Tune in to learn how to recreate this effect in your own projects.",Course,2018-12-07 06:41 UTC,N/A,false,N/A,
Migrating from AutoCAD to Revit,"This course shows AutoCAD drafters and designers how to migrate their CAD workflow to Autodesk Revit software. Author Paul F. Aubin details how to transfer your files and explains key distinctions between the packages. Along the way, learn how to customize the Revit settings for optimal control, get a basic handle on the modeling tools, and adjust yourself to the differences in visibility, plot style, object creation, and the user interface.",Course,2018-07-24 20:51 UTC,N/A,false,N/A,
The Monster Drawing Workshop,"Monsters, like our imaginations, follow no rules. They can have eight legs or five eyes, horns or wings. This monster drawing workshop, hosted by illustrator and Lynda.com fan favorite Von Glitschka, is designed to help new artists drop their inhibitions around drawing and let their creativity take over. It's also great for facilitators who want to help their clients or teams overcome creative and mental roadblocks. Von is there every step of the way, breaking down each monster ""part"" bit by bit, so students can build the monster of their dreams.",Course,2019-01-16 03:53 UTC,N/A,false,N/A,
Learning Design Research,"With design research, designs are more meaningful and effective because they are grounded in a real-world context. The goal of this course is to introduce the process of design research and to help designers understand how critical it is to being able to develop great designs. Authors Peni Acayo and Andy Schwanbeck walk you through the various types of research (primary vs. secondary, quantitative vs. qualitative, etc.) so that you get a sense of which are appropriate for the job at hand. They also introduce research tools, planning considerations, and frameworks for presenting your results, such as personas and infographics. Plus, find out how research can directly inform your designs, using generative research, user testing, and rapid prototyping.",Course,N/A,N/A,true,N/A,
SOLIDWORKS: Design for Mechatronics,"SOLIDWORKS is the leading software for mechanical design and engineering. However, it also offers a powerful toolset for generating mechatronic designs, or designs that combine mechanical and electrical components. In this course, Justin Flett teaches the basics of mechatronic design in SOLIDWORKS, walking through a complete, simplified project for a robotic arm. As the project progresses, he examines advanced tools for plastics and casing design, including drafts, shells, ribs, and mounting bosses, which are common elements in mechatronic enclosures and housing. Then Justin shows how to complete assemblies, including integrating imported motors and printed circuit board (PCB) components. Plus, learn how to route cables and wires in your project and generate final output, such as drawing, STEP, and PDF files.",Course,2019-02-11 13:38 UTC,N/A,false,N/A,
"Hire Better, Hire Faster with Social Media and Digital Platforms","<p>Social media permanently changed how hiring managers and HR professionals hire people. Now, data suggests that 70% of hiring managers have hired candidates using social media, and 84% of companies are currently using social media for recruiting. As these platforms mature, you risk missing out on top candidates if you don’t know how to leverage these tools. Join Laurie Ruettimann in this course to learn how to create an efficient social media and digital recruiting strategy that is channel-agnostic and aligns with your organization's business goals, communicates your brand, and attracts talented candidates who want to stay. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/american-staffing-association-corporate-recruiting-professional-certificate"" >Professional Certificate</a> from American Staffing Association.</p>",Course,2024-06-12 04:03 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2023-10-27 02:03 UTC,N/A,false,N/A,
Revit Structure 2013 Essential Training,"Discover how to create detailed architectural models and documentation in Revit Structure. This course includes an introduction to the user interface; hands-on experience drawing and editing Revit elements; viewing and manipulating objects in 3D; and producing design documentation from a Revit model and imported CAD entities. Author Brian Myers provides detailed instructions for building the most common structural components, such as columns, walls, foundations, beams and bracings, and ramps and stairs, which you can recreate in your own architectural drawings.",Course,2020-03-16 04:33 UTC,N/A,false,N/A,
Alison Mann: Animation Talent Scout,"How do top animation studios find talent? Recruiters like Alison Mann. In this interview, Alison explains how she finds artists and animators for feature films at Paramount Animation. Learn about the qualities she looks for in great artists; the role of social media in self-promotion and recruiting for creatives; and why internships are so important for uncovering new talent. She also explains how to assemble a portfolio that is focused and features your best work first.",Course,2019-03-04 12:46 UTC,N/A,false,N/A,
HBIM: Historic Building Re-creation,"Historic building information modeling (HBIM) is the process of using digital tools like 3D scanning and architectural software like Revit to document historically significant locations all over the world. Project Soane is a crowd-sourced mission to resurrect Sir John Soane's lost Bank of England design using modern BIM software. In this course, Paul F. Aubin shows how you can use Revit to rebuild history and submit your own contributions to historical reconstruction projects like Project Soane. He also shows how to create stunning renderings of the finished model using Revit, Showcase, and 3ds Max.",Course,2018-12-16 03:52 UTC,N/A,false,N/A,
SOLIDWORKS: Designing for Consumer Electronics,"Consumer electronics are all around us, and new products are created every year. In this course, instructor Johno Ellison teaches the basics of designing these items in SOLIDWORKS. Through this project-based course, he shows you how to design a game controller using SOLIDWORKS features like lofts, fillets, mirroring, and shell. Course projects include creating an assembly, adding fastening details, and even creating the buttons, joystick, and printed circuit board that go into the controller. Johno concludes with a discussion of development and potential next stages in the design process.",Course,2021-05-06 02:09 UTC,N/A,false,N/A,
