post_date,posted_at,content,image_path,pillar,status,linkedin_url,notes,impressions,reactions,comments,reposts,engagement_rate
2023-11-10,2023-11-10 00:00:00,"The architecture stands among the silent winter forest, its windows reflecting the dull grey sky. Snow blankets the ground, muffling the sounds of the world outside and creating a feeling of familiar isolation. The trees stand like frozen sentinels, their branches stripped bare by the cold.

As spring arrives, the forest comes back to life. The snow melts away, giving way to the vibrant green of new growth. The birds return, filling the air with their cheerful songs as the leaves rustle and crackle from landing and takeoff. Sunlight filters down through the trees, casting a warm glow on the forest floor, turning the morning dew into a luscious mist.

Inside, the sun steps gently through the windows, pouring warm light on the polished floors as the sounds of typing and muffled voices mix with the sounds of blooming the forest, creating a peaceful and majestic atmosphere. The fresh scent of spring wafts in through the open windows blending with the familiar coffee aroma, invigorating those within the inside/outside spaces. It's a serene and calming environment, one that allows for focused and productive life amidst the beauty of the spring forest.",,technical,posted,,Historical post 24 - auto-imported,0,11,0,1,0
2023-11-10,2023-11-10 00:00:00,"Thanks to Hassan Ragab, Hamid Hassanzadeh and ParametricArchitecture for a wonderful weekend workshop. Looking forward to further implementing these tools to push new boundaries in both design and architecture in the built environment!",,breaking_box,posted,,Historical post 25 - auto-imported,0,11,2,1,0
2023-11-10,2023-11-10 00:00:00,Designing unique and experiential architectural spacial relationships by leveraging #chatgpt node from Peter Davis and digital construction workflow from Michael Wickerson to utilize ChatGPTs native ability to understand human emotion. Next step is rendering in #stablediffusion,,systems,posted,,Historical post 26 - auto-imported,0,39,2,3,0
2021-11-10,2021-11-10 00:00:00,Passing a personal milestone with success. A loose felt tip pen drawing to celebrate: Yesterday. The day that makes tomorrow.,,future_making,posted,,Historical post 31 - auto-imported,0,11,0,0,0
2021-11-10,2021-11-10 00:00:00,A sketch. Escaping to a world independent from our known and accepted limitations.,,future_making,posted,,Historical post 32 - auto-imported,0,9,0,0,0
2020-11-10,2020-11-10 00:00:00,Experiments into using CUDA and AI to render faster and better with major improvements to detail and lighting. Original is rendered with Arnold at 200x200 in 15 minutes on cpu. Enhanced to 800x800 in about 20 seconds on gpu. Over 4 hours in time savings on a two second animation.,,technical,posted,,Historical post 33 - auto-imported,0,7,0,0,0
2020-11-10,2020-11-10 00:00:00,"Exciting news! Having graduated with my Master of Architecture, I am now pursuing a position with a professional architectural firm that values design integrity, is not-afraid to push boundaries, and one that is fundamentally rooted in a highly sustainable approach: evolving the standards of human comfort, the connection to our environment, and accomplishes the design process by taking full advantage of technological resources.

After completing my academic journey to become a Master of Architecture, my portfolio, skillet, and passion for architecture have grown to a level that I could never have imagined. From land surveying swamps and forests, to designing 3d printed structures withstanding 250mph winds, my path unfolds into the awaited one of a professional career.

Attached please find my portfolio which further demonstrates my abilities as a truly innovative architectural designer. If you know of any firms that would be a good long-term fit for my unique skillset, please send me a message on LinkedIn or email at alexwickes@gmail.com! Thank you!",,technical,posted,,Historical post 34 - auto-imported,0,22,2,0,0
2020-11-10,2020-11-10 00:00:00,"The unique design capabilities of #3DPrinting: customization and optimization. With an absolutely inspiring conversation, and a design that I never thought I would produce, this masterpiece fulfills every goal I had set out to accomplish at Washington University in St. Louis. With graduation soon to come, I will have completed a decade long journey to proudly say I am a Master of Architecture.

With the confidence, know-how and values to change the world we live in, I will be pursuing the forefronts of 3DPrinting as it is a technology that has the ability to move our world in a direction that is sustainable and no longer destructive to our planet.

Thank you to all of my peers and instructors for not only aiding but pushing my capabilities further then I could ever have imagined to help me become the person I am today.",,technical,posted,,Historical post 35 - auto-imported,0,21,2,1,0
2020-11-10,2020-11-10 00:00:00,The #MasterofArchitecture design project thesis is ready for virtual presentation; The unique design capabilities of #3DPrinting: customization and optimization,,breaking_box,posted,,Historical post 36 - auto-imported,0,7,2,0,0
2020-11-10,2020-11-10 00:00:00,Evening experiment in visual and physical interaction with an un-interaction between two images. Creating a simple yet complex overwhelming composition with a lattice portrait wrapping a procedural 3D brushstroke.,,technical,posted,,Historical post 37 - auto-imported,0,11,1,0,0
2020-11-10,2020-11-10 00:00:00,A recent iteration in my #masterofarchitecture degree project at #WashU. Developed with a hybrid multi material lattice structure to maximize the potential of #3DPrinting to create a new kind of hyper-dynamic experience that will inspire the future of #making on a galactic perspective.,,breaking_box,posted,,Historical post 38 - auto-imported,0,6,1,0,0
2020-11-10,2020-11-10 00:00:00,"Quick 3d drawing in a hybridized fluid simulation and image based form finding to create a hyper dynamic explosion of motion, from a designed organized chaos comes something truly organic.",,future_making,posted,,Historical post 39 - auto-imported,0,8,2,0,0
2020-11-10,2020-11-10 00:00:00,"Designed a 75mm structurally optimized lattice cube. Reduced material volume by 91% to 34g. Seeing a future of #architecture where doing a lot more with a lot less is not only possible, but feasible.",,breaking_box,posted,,Historical post 40 - auto-imported,0,11,2,0,0
2020-11-10,2020-11-10 00:00:00,#MasterofArchitecture degree project taking form. Maximizing the potential of #3dPrinting with complete physical optimization and hybrid material extrusion to create a new kind of hyper-dynamic experience inspiring the future of #making.,,breaking_box,posted,,Historical post 41 - auto-imported,0,9,1,0,0
2020-11-10,2020-11-10 00:00:00,I created this custom neural network to evolve the elemental essence of a 6 part space formulated into a passive atrium space. Machine Learning can maximize the customization potential of 3D printing in architectural design to take sustainability to a new level fully blending art and science.,,technical,posted,,Historical post 42 - auto-imported,0,10,3,0,0
2020-11-10,2020-11-10 00:00:00,"A successful end to the enlightening studio led by Patrick Gmür from Zurich Switzerland. The design centers around a Swiss mixed-use apartment, stylizing the bond of urban plan-community-building with spacious double height and triple facade plans.",,breaking_box,posted,,Historical post 43 - auto-imported,0,15,3,0,0
2020-11-10,2020-11-10 00:00:00,"The most effort rewarding part of the model making and design process is when the pieces come together. 1:236 (1""=6.0m) Physical model test fit for finishing touches to complete a mixed use tower design located in Zurich Switzerland.",,systems,posted,,Historical post 44 - auto-imported,0,4,0,0,0
2020-11-10,2020-11-10 00:00:00,"A happy thanksgiving and thanks to the inevitability of the escalation in technology, as the architecture we can create will allow a better future to become a reality",,breaking_box,posted,,Historical post 45 - auto-imported,0,2,0,0,0
2020-11-10,2020-11-10 00:00:00,Site study composition for a project soon to come. It yields the growing design potentials that will take sustainability to a new level.,,technical,posted,,Historical post 46 - auto-imported,0,1,0,0,0
2019-11-11,2019-11-11 00:00:00,Drawing and modeling to escape the chatter in the mind.,,future_making,posted,,Historical post 47 - auto-imported,0,12,0,0,0
2019-11-11,2019-11-11 00:00:00,#Facade thermal #optimization and window/lighting detail with an interior configuration overhaul for the #mixed-use tower. New interlocking multilevel plans for extreme tenant #customization at UpdateH.,,technical,posted,,Historical post 48 - auto-imported,0,2,0,0,0
2019-11-11,2019-11-11 00:00:00,Final #rendering in #maya with some intense #arnold shader networks for the #MArch2 degree project. Can #architecture save the world by 2020? 2100? 2500?,,breaking_box,posted,,Historical post 49 - auto-imported,0,7,4,0,0
